iter	Passed	Remaining
413	2867	4058
414	2874	4051
415	2879	4042
416	2885	4034
417	2892	4027
418	2897	4018
419	2904	4010
420	2910	4002
421	2915	3992
422	2922	3986
423	2928	3978
424	2934	3970
425	2940	3961
426	2945	3952
427	2951	3944
428	2956	3935
429	2961	3925
430	2967	3917
431	2973	3909
432	2978	3900
433	2985	3893
434	2990	3884
435	2995	3875
436	3002	3868
437	3007	3859
438	3013	3850
439	3020	3844
440	3026	3835
441	3032	3828
442	3037	3819
443	3043	3811
444	3049	3803
445	3056	3796
446	3061	3787
447	3068	3780
448	3073	3771
449	3079	3763
450	3085	3755
451	3090	3746
452	3096	3738
453	3101	3730
454	3106	3721
455	3114	3715
456	3123	3711
457	3129	3704
458	3136	3696
459	3141	3687
460	3148	3681
461	3153	3672
462	3158	3663
463	3165	3656
464	3170	3647
465	3175	3639
466	3181	3631
467	3186	3622
468	3194	3616
469	3199	3608
470	3205	3599
471	3211	3592
472	3218	3585
473	3224	3578
474	3230	3571
475	3236	3563
476	3243	3555
477	3249	3548
478	3254	3539
479	3261	3532
480	3266	3524
481	3271	3516
482	3278	3509
483	3283	3500
484	3288	3492
485	3294	3484
486	3300	3476
487	3306	3468
488	3311	3460
489	3316	3452
490	3323	3445
491	3329	3437
492	3334	3429
493	3340	3421
494	3346	3413
495	3352	3406
496	3359	3399
497	3364	3391
498	3370	3383
499	3375	3375
500	3381	3367
501	3387	3360
502	3392	3352
503	3397	3344
504	3404	3336
505	3409	3328
506	3414	3320
507	3421	3313
508	3426	3305
509	3431	3297
510	3438	3290
511	3444	3283
512	3449	3274
513	3456	3268
514	3461	3259
515	3468	3252
516	3473	3245
517	3478	3236
518	3485	3229
519	3490	3221
520	3496	3214
521	3508	3213
522	3514	3205
523	3521	3199
524	3528	3192
525	3536	3186
526	3542	3179
527	3549	3172
528	3556	3166
529	3562	3159
530	3570	3153
531	3576	3146
532	3583	3140
533	3590	3133
534	3596	3126
535	3603	3119
536	3608	3111
537	3616	3105
538	3623	3099
539	3631	3093
540	3637	3086
541	3646	3081
542	3652	3074
543	3658	3066
544	3666	3061
545	3672	3053
546	3679	3046
547	3684	3039
548	3690	3031
549	3698	3026
550	3704	3018
551	3711	3012
552	3717	3004
553	3723	2997
554	3731	2991
555	3737	2984
556	3745	2978
557	3751	2971
558	3758	2965
559	3764	2957
560	3770	2950
561	3778	2944
562	3784	2937
563	3791	2931
564	3797	2923
565	3803	2916
566	3812	2911
567	3817	2903
568	3825	2897
569	3831	2890
570	3838	2884
571	3845	2877
572	3851	2869
573	3859	2864
574	3866	2857
575	3873	2851
576	3881	2845
577	3888	2839
578	3895	2832
579	3901	2825
580	3914	2822
581	3923	2817
582	3929	2810
583	3938	2805
584	3945	2798
585	3954	2793
586	3961	2786
587	3969	2781
588	3976	2774
589	3984	2768
590	3991	2762
591	3999	2756
592	4006	2749
593	4012	2742
594	4020	2736
595	4026	2729
596	4035	2723
597	4042	2717
598	4050	2711
599	4056	2704
600	4063	2697
601	4070	2691
602	4076	2684
603	4083	2677
604	4089	2669
605	4097	2664
606	4103	2656
607	4111	2650
608	4117	2643
609	4123	2636
610	4131	2630
611	4137	2622
612	4145	2617
613	4151	2610
614	4158	2603
615	4165	2596
616	4172	2589
617	4181	2584
618	4190	2579
619	4197	2572
620	4202	2565
621	4212	2560
622	4218	2552
623	4227	2547
