iter	Logloss
0	0.6896010029
1	0.6858428057
2	0.6821738622
3	0.6793330456
4	0.6747597002
5	0.6713029151
6	0.6669419434
7	0.6632659964
8	0.6600568899
9	0.6578445874
10	0.6546023562
11	0.6513883568
12	0.6482036046
13	0.6452540766
14	0.6428591116
15	0.6400343166
16	0.6364834021
17	0.6335796677
18	0.6307882519
19	0.6271342442
20	0.624527273
21	0.622711879
22	0.6198798837
23	0.6171269254
24	0.6146805999
25	0.6115626586
26	0.6089383288
27	0.6062686188
28	0.6043039321
29	0.6019872752
30	0.5995525908
31	0.5971482908
32	0.5948480978
33	0.5921070844
34	0.5892377378
35	0.5855026113
36	0.582823793
37	0.5799246765
38	0.5774689702
39	0.5748103976
40	0.5727116878
41	0.5708124073
42	0.5679797866
43	0.5647369339
44	0.56337325
45	0.5611629084
46	0.5591207953
47	0.5564476511
48	0.554107196
49	0.5513204197
50	0.5495126622
51	0.5480052179
52	0.5453105038
53	0.5435658772
54	0.5420873118
55	0.5405136137
56	0.5386841724
57	0.5369868365
58	0.5354207998
59	0.5338666795
60	0.5317947784
61	0.5300101543
62	0.5280995554
63	0.5262099376
64	0.5242958073
65	0.5227424999
66	0.5209352763
67	0.5181742282
68	0.5165280881
69	0.5150112339
70	0.5132422237
71	0.5119159666
72	0.5095833732
73	0.507105387
74	0.505520345
75	0.5042043956
76	0.5033388347
77	0.5023302209
78	0.500229644
79	0.49884289
80	0.4974011064
81	0.4962527333
82	0.4947226444
83	0.4931196178
84	0.4921660953
85	0.4905379298
86	0.4893816327
87	0.4871263079
88	0.4853570222
89	0.4843380348
90	0.4830154608
91	0.4812824373
92	0.4799426909
93	0.4785400905
94	0.4766079799
95	0.4750724631
96	0.4734016768
97	0.4719118497
98	0.4711380422
99	0.4691237191
100	0.4674677963
101	0.466574091
102	0.4657783034
103	0.4647451012
104	0.4636802958
105	0.4626682912
106	0.461074904
107	0.4598462283
108	0.4586069682
109	0.4571554139
110	0.4565323214
111	0.4550019904
112	0.4532373919
113	0.4523038428
114	0.4514210985
115	0.4501487459
116	0.4489002436
117	0.4476603339
118	0.4466643118
119	0.445710112
120	0.4453909885
121	0.444356941
122	0.4431922082
123	0.4418913852
124	0.4406425098
125	0.4399022008
126	0.4385561765
127	0.4368376321
128	0.4358270272
129	0.4348773596
130	0.4336656669
131	0.4323607546
132	0.4314123231
133	0.429814061
134	0.4287658166
135	0.4274222417
136	0.4265695705
137	0.4254204794
